type	latitude	longitude	altitude (m)	color	opacity	name	desc
T	-1.397328588	36.719567094	1772.2				
T	-1.398143290	36.719490982	1774.7				
T	-1.398041440	36.719500659	1774.4				
T	-1.397532215	36.719548391	1773.2				
T	-1.395085771	36.719780538	1762.3				
T	-1.393157042	36.720073934	1763.1				
T	-1.390329491	36.720670804	1755.3				
T	-1.387729638	36.721471177	1762.5				
T	-1.384830029	36.722312219	1779.6				
T	-1.381907329	36.722924785	1782.6				
T	-1.379397426	36.723504259	1790.0				
T	-1.376986334	36.724062948	1794.3				
T	-1.373257097	36.724850339	1786.0				
T	-1.371716426	36.725079810	1767.8				
T	-1.370442031	36.725363717	1794.6				
T	-1.366922746	36.725768342	1819.3				
T	-1.366018362	36.725870898	1825.3				
T	-1.365213450	36.725960538	1828.6				
T	-1.364305665	36.726058946	1830.8				
T	-1.363601012	36.726136373	1833.3				
T	-1.362896657	36.726213774	1836.6				
T	-1.361168473	36.726387071	1838.5				
T	-1.360656739	36.726435707	1838.7				
T	-1.361077975	36.726499386	1838.5				
T	-1.362321036	36.726581982	1838.6				
T	-1.363656746	36.726647269	1833.4				
T	-1.365606368	36.726746812	1829.9				
T	-1.368744204	36.726690549	1809.1				
T	-1.372220693	36.726808215	1788.3				
T	-1.376047635	36.726942304	1788.2				
T	-1.378920749	36.726941331	1788.4				
T	-1.381620584	36.727178224	1788.4				
T	-1.384419723	36.727394941	1781.2				
T	-1.386798646	36.727474276	1779.7				
T	-1.388857029	36.727467856	1777.7				
T	-1.390722136	36.727577969	1771.5				
T	-1.392395057	36.727813507	1771.3				
T	-1.393843929	36.727867574	1769.7				
T	-1.395193476	36.727918438	1762.9				
T	-1.396533052	36.727875404	1756.4				
T	-1.397781901	36.727945584	1752.3				
T	-1.399229143	36.727882905	1742.3				
T	-1.400470509	36.727978884	1750.3				
T	-1.402934300	36.728074208	1782.8				
T	-1.404162586	36.728062212	1786.1				
T	-1.405293878	36.728050637	1784.9				
T	-1.406318448	36.728056489	1778.5				
T	-1.407360580	36.727920123	1764.2				
T	-1.408197709	36.727809182	1751.4				
T	-1.409728469	36.727655467	1747.1				
T	-1.410215802	36.727402281	1749.8				
T	-1.408306263	36.726871346	1750.8				
T	-1.406812962	36.726640972	1766.3				
T	-1.403209737	36.725789841	1768.7				
T	-1.401209254	36.725249257	1764.5				
T	-1.397869931	36.724726553	1746.8				
T	-1.396418401	36.724666820	1748.2				
T	-1.394864238	36.724619938	1746.1				
T	-1.393514311	36.724556897	1747.1				
T	-1.392175266	36.724607853	1755.1				
T	-1.390715141	36.724462550	1761.2				
T	-1.389165265	36.724430470	1768.3				
T	-1.387933835	36.724471439	1778.7				
T	-1.386700835	36.724495875	1780.4				
T	-1.385579337	36.724607948	1783.6				
T	-1.384661015	36.724697583	1783.1				
T	-1.383541047	36.724815635	1782.4				
T	-1.381403801	36.725040979	1787.4				
T	-1.380385101	36.725145219	1789.7				
T	-1.379163755	36.725272318	1791.3				
T	-1.377942632	36.725399389	1792.0				
T	-1.376823448	36.725515815	1792.0				
T	-1.375602747	36.725642751	1791.3				
T	-1.374582324	36.725743903	1787.7				
T	-1.373543803	36.725821386	1775.2				
T	-1.372623945	36.725912282	1768.0				
T	-1.371733001	36.726037927	1786.5				
T	-1.370933004	36.726137639	1797.3				
T	-1.370628393	36.726169562	1798.4				
T	-1.372925081	36.725875015	1769.2				
T	-1.374582324	36.725743903	1787.7				
T	-1.377026921	36.725494652	1792.0				
T	-1.379570851	36.725229946	1791.1				
T	-1.382014491	36.724977157	1786.2				
T	-1.384558964	36.724707543	1783.0				
T	-1.386802717	36.724485357	1780.4				
T	-1.388432471	36.724313527	1775.9				
T	-1.389959133	36.724126331	1758.2				
T	-1.391081484	36.724003816	1754.1				
T	-1.393124291	36.723773309	1748.3				
T	-1.393737205	36.723712397	1749.9				
T	-1.394554296	36.723631186	1751.4				
T	-1.395371176	36.723550631	1753.8				
T	-1.396188224	36.723467978	1754.8				
T	-1.396996569	36.723274263	1750.5				
T	-1.397904735	36.723082654	1752.5				
T	-1.398708784	36.722908075	1760.8				
T	-1.399501685	36.722631843	1767.1				
T	-1.401311409	36.722259965	1771.3				
T	-1.402005967	36.721979537	1773.1				
T	-1.402709189	36.721805580	1772.8				
T	-1.403412986	36.721630683	1773.0				
T	-1.404310141	36.721333321	1772.6				
T	-1.404686339	36.720987041	1771.7				
T	-1.404654199	36.720683070	1772.9				
T	-1.403032162	36.720952723	1775.3				
T	-1.401329561	36.721435326	1774.2				
T	-1.397943679	36.722462353	1754.3				
T	-1.390511095	36.724484351	1761.8				
T	-1.387100138	36.725382606	1781.4				
T	-1.384195343	36.726188352	1780.9				
T	-1.381508431	36.727087000	1788.6				
T	-1.379116314	36.727932586	1787.6				
T	-1.377036191	36.728587275	1786.8				
T	-1.375107429	36.729148031	1758.4				
T	-1.373567221	36.729869318	1792.6				
T	-1.371982205	36.730353825	1800.3				
T	-1.370397930	36.730836395	1809.7				
T	-1.369127791	36.731386608	1820.5				
T	-1.367751655	36.731848617	1821.7				
T	-1.366679535	36.732371697	1820.5				
T	-1.365594058	36.732790841	1823.2				
T	-1.364905527	36.733067589	1823.6				
T	-1.364217075	36.733344290	1825.8				
T	-1.363528719	36.733620962	1829.3				
T	-1.363042811	36.733876506	1831.0				
T	-1.362455208	36.734142261	1830.8				
T	-1.362079398	36.734488046	1828.1				
T	-1.363205936	36.734475283	1831.3				
T	-1.364533702	36.734440770	1825.5				
T	-1.366570603	36.734332493	1816.9				
T	-1.369393157	36.734027415	1816.0				
T	-1.372425587	36.733701836	1801.0				
T	-1.379318972	36.732960709	1770.3				
T	-1.382891526	36.732603337	1776.9				
T	-1.385642835	36.732320026	1772.3				
T	-1.388191291	36.732058545	1766.3				
T	-1.390128308	36.731858496	1771.4				
T	-1.391453941	36.731721142	1771.3				
T	-1.392677824	36.731595509	1769.5				
T	-1.393799824	36.731480331	1770.2				
T	-1.394717894	36.731386081	1770.3				
T	-1.395534119	36.731301769	1769.4				
T	-1.396361050	36.731318640	1769.4				
T	-1.397381697	36.731213013	1766.6				
T	-1.398303427	36.731109307	1760.6				
T	-1.399331049	36.730988149	1748.1				
T	-1.400461023	36.730860249	1740.2				
T	-1.401680772	36.730749049	1746.2				
T	-1.402797009	36.730647764	1758.7				
T	-1.403607820	36.730574237	1767.5				
T	-1.404409903	36.730394872	1773.8				
T	-1.400841485	36.729593587	1748.0				
T	-1.397512440	36.729441590	1762.9				
T	-1.394112386	36.729488738	1771.0				
T	-1.391439634	36.729560065	1770.8				
T	-1.388993258	36.729817212	1774.5				
T	-1.386751152	36.730047968	1774.7				
T	-1.384813518	36.730242681	1775.4				
T	-1.383286910	36.730404434	1777.1				
T	-1.381860566	36.730550630	1780.9				
T	-1.380536626	36.730687167	1777.3				
T	-1.379518336	36.730792181	1783.3				
T	-1.378703801	36.730876177	1784.0				
T	-1.378001210	36.731051162	1778.3				
T	-1.377491895	36.731191587	1771.5				
T	-1.376868372	36.731239421	1759.2				
T	-1.376141430	36.731297277	1760.9				
T	-1.375845656	36.731340773	1764.6				
T	-1.375550932	36.731384930	1771.4				
T	-1.378214905	36.731131648	1778.7				
T	-1.381575329	36.730785130	1778.9				
T	-1.385141772	36.730420258	1774.6				
T	-1.389003614	36.729918927	1774.5				
T	-1.393550315	36.729031482	1772.7				
T	-1.397699457	36.728164459	1754.0				
T	-1.400916150	36.727320352	1756.2				
T	-1.403415928	36.726798591	1773.0				
T	-1.404834554	36.726547957	1773.8				
T	-1.406906661	36.726525358	1765.0				
T	-1.405774238	36.726656334	1772.2				
T	-1.404138527	36.726830450	1772.8				
T	-1.401299323	36.727085490	1759.6				
